Season,Position,Team,Matches,Wins,Draws,Losses,Goals,Points,GF,GA,Arrivals,Expenditure,Departures,Income,Balance,Squad,Average_age,Market_value,Pts_year_before
2015,17 ,FC Toulouse,38,9,13,16,45:55,40,45,55,10,2900000,10,10500000,-7600000,32,24.1,42900000,42
2016,13 ,FC Toulouse,38,10,14,14,37:41,44,37,41,18,7000000,17,10000000,-3000000,38,23.9,77300000,40
2017,18 ,FC Toulouse,38,9,10,19,38:54,37,38,54,11,3500000,17,13000000,-9500000,28,24.5,110450000,44
2018,16 ,FC Toulouse,38,8,14,16,35:57,38,35,57,25,15450000,14,34500000,-19050000,40,24.1,113250000,37
2019,20 ,FC Toulouse,28,3,4,21,22:58,17,22,58,24,14000000,20,15150000,-1150000,35,23.5,71880000,38
2011,9 ,FC Évian Thonon Gaillard,38,13,11,14,54:55,50,54,55,16,1850000,14,0,1850000,33,27.0,32900000,50
2012,16 ,FC Évian Thonon Gaillard,38,10,10,18,46:53,40,46,53,6,1600000,12,0,1600000,35,26.5,34550000,50
2013,14 ,FC Évian Thonon Gaillard,38,11,11,16,39:51,44,39,51,16,2300000,19,7800000,-5500000,35,25.9,35000000,40
2014,18 ,FC Évian Thonon Gaillard,38,11,4,23,41:62,37,41,62,15,2250000,21,3000000,-750000,33,27.0,36150000,44
2015,19 ,GFC Ajaccio,38,8,13,17,37:58,37,37,58,8,0,11,0,0,30,25.8,18400000,37
2011,3 ,LOSC Lille,38,21,11,6,72:39,74,72,39,20,14000000,16,25900000,-11900000,29,26.4,145350000,74
2012,6 ,LOSC Lille,38,16,14,8,59:40,62,59,40,18,16300000,10,35000000,-18700000,28,26.3,114600000,74
2013,3 ,LOSC Lille,38,20,11,7,46:26,71,46,26,19,2950000,12,42000000,-39050000,32,25.3,74100000,62
2014,8 ,LOSC Lille,38,16,8,14,43:42,56,43,42,11,4800000,11,14430000,-9630000,31,25.3,82650000,71
2015,5 ,LOSC Lille,38,15,15,8,39:27,60,39,27,27,12900000,16,35250000,-22350000,34,25.5,70800000,56
2016,11 ,LOSC Lille,38,13,7,18,40:47,46,40,47,21,4500000,24,44000000,-39500000,46,24.6,83900000,60
2017,17 ,LOSC Lille,38,10,8,20,41:67,38,41,67,30,76500000,29,20100000,56400000,32,22.0,96750000,46
2018,2 ,LOSC Lille,38,22,9,7,68:33,75,68,33,17,8900000,19,58700000,-49800000,32,23.7,267550000,38
2019,4 ,LOSC Lille,28,15,4,9,35:27,66,35,27,21,97000000,14,149500000,-52500000,31,23.7,247780000,75
2020,1 ,LOSC Lille,38,24,11,3,64:23,83,64,23,25,40430000,13,104000000,-63570000,32,23.6,323200000,66
2021,11 ,LOSC Lille,23,8,8,7,31:35,32,31,35,15,13000000,12,53110000,-40110000,22,25.5,239300000,83
2011,1 ,Montpellier HSC,38,25,7,6,68:34,82,68,34,14,2000000,10,2000000,0,31,26.0,86200000,82
2012,9 ,Montpellier HSC,38,15,7,16,54:51,52,54,51,13,12500000,4,12000000,500000,36,25.3,78700000,82
2013,15 ,Montpellier HSC,38,8,18,12,45:53,42,45,53,11,2500000,14,14500000,-12000000,31,25.1,52350000,52
2014,7 ,Montpellier HSC,38,16,8,14,46:39,56,46,39,12,3500000,10,15900000,-12400000,36,25.2,51950000,42
2015,12 ,Montpellier HSC,38,14,7,17,49:47,49,49,47,13,2730000,10,4000000,-1270000,32,25.9,44400000,56
2016,15 ,Montpellier HSC,38,10,9,19,48:66,39,48,66,9,0,14,7400000,-7400000,35,25.6,60950000,49
2017,10 ,Montpellier HSC,38,11,18,9,36:33,51,36,33,13,5700000,15,20000000,-14300000,30,25.4,71850000,39
2018,6 ,Montpellier HSC,38,15,14,9,53:42,59,53,42,14,8600000,11,25500000,-16900000,32,25.7,109850000,51
2019,8 ,Montpellier HSC,28,11,7,10,35:34,54,35,34,19,20300000,15,40000000,-19700000,30,26.2,81680000,59
2020,8 ,Montpellier HSC,38,14,12,12,60:62,54,60,62,11,13100000,7,0,13100000,34,25.2,113850000,54
2021,7 ,Montpellier HSC,23,10,4,9,38:33,34,38,33,12,200000,16,25000000,-24800000,25,24.5,98550000,54
2018,9 ,Nîmes Olympique,38,15,8,15,57:58,53,57,58,13,3150000,9,0,3150000,31,25.0,88150000,53
2019,18 ,Nîmes Olympique,28,7,6,15,29:44,36,29,44,15,8600000,18,20500000,-11900000,35,23.8,49650000,53
2020,19 ,Nîmes Olympique,38,9,8,21,40:71,35,40,71,12,11250000,7,500000,10750000,36,24.9,60400000,36
2011,13 ,OGC Nice,38,10,12,16,39:46,42,39,46,18,5600000,16,100000,5500000,34,24.9,52450000,42
2012,4 ,OGC Nice,38,18,10,10,57:46,64,57,46,18,4500000,15,8700000,-4200000,39,23.3,59150000,42
2013,17 ,OGC Nice,38,12,6,20,30:44,42,30,44,14,0,8,0,0,42,22.9,56100000,64
2014,11 ,OGC Nice,38,13,9,16,44:53,48,44,53,14,1300000,15,7400000,-6100000,37,23.4,56250000,42
2015,4 ,OGC Nice,38,18,9,11,58:41,63,58,41,25,3100000,18,14000000,-10900000,35,23.4,71000000,48
2016,3 ,OGC Nice,38,22,12,4,63:36,78,63,36,23,13750000,18,15800000,-2050000,39,23.5,132800000,63
2017,8 ,OGC Nice,38,15,9,14,53:52,54,53,52,19,24300000,17,24500000,-200000,39,23.6,204100000,78
2018,7 ,OGC Nice,38,15,11,12,30:35,56,30,35,14,28000000,11,61700000,-33700000,38,22.7,183200000,54
2019,6 ,OGC Nice,28,11,8,9,41:38,55,41,38,16,52200000,14,22600000,29600000,37,23.1,173450000,56
2020,9 ,OGC Nice,38,15,7,16,50:53,52,50,53,33,29230000,26,20110000,9120000,41,22.4,236100000,55
2021,3 ,OGC Nice,23,13,4,6,36:19,42,36,19,26,48000000,22,21100000,26900000,27,23.9,237950000,52
2011,4 ,Olympique Lyon,38,19,7,12,64:51,64,64,51,14,4600000,8,22000000,-17400000,42,23.3,163850000,64
2012,3 ,Olympique Lyon,38,19,10,9,61:38,67,61,38,18,8750000,16,29100000,-20350000,52,23.9,155650000,64
2013,5 ,Olympique Lyon,38,17,10,11,56:44,61,56,44,16,4000000,8,24500000,-20500000,36,24.2,108500000,67
2014,2 ,Olympique Lyon,38,22,9,7,72:33,75,72,33,7,3000000,7,1500000,1500000,31,24.4,144650000,61
2015,2 ,Olympique Lyon,38,19,8,11,67:43,65,67,43,13,41100000,10,21800000,19300000,33,25.0,166300000,75
2016,4 ,Olympique Lyon,38,20,5,13,77:48,67,77,48,16,12600000,9,27300000,-14700000,34,23.6,211350000,65
2017,3 ,Olympique Lyon,38,23,9,6,87:43,78,87,43,25,51000000,19,119550000,-68550000,34,23.1,363800000,67
2018,3 ,Olympique Lyon,38,21,9,8,70:47,72,70,47,20,46450000,17,90100000,-43650000,34,23.7,467950000,78
2019,7 ,Olympique Lyon,28,11,7,10,42:27,54,42,27,13,88000000,14,133320000,-45320000,33,24.0,384550000,72
2020,4 ,Olympique Lyon,38,22,10,6,81:43,76,81,43,19,33250000,18,49100000,-15850000,40,24.2,431400000,54
2021,8 ,Olympique Lyon,23,9,8,6,31:30,34,31,30,20,6500000,12,46500000,-40000000,26,24.7,316050000,76
2011,10 ,Olympique Marseille,38,12,12,14,45:41,48,45,41,15,11000000,15,0,11000000,35,25.3,146500000,48
2012,2 ,Olympique Marseille,38,21,8,9,42:36,71,42,36,14,2800000,11,17300000,-14500000,43,24.1,150650000,48
2013,6 ,Olympique Marseille,38,16,12,10,53:40,60,53,40,20,38700000,13,750000,37950000,36,25.0,141300000,71
2014,4 ,Olympique Marseille,38,21,6,11,76:42,69,76,42,19,20500000,16,17500000,3000000,34,23.2,139700000,60
2015,13 ,Olympique Marseille,38,10,18,10,48:42,48,48,42,27,19750000,25,54450000,-34700000,38,23.9,129500000,69
2016,5 ,Olympique Marseille,38,17,11,10,57:41,62,57,41,26,10200000,27,79400000,-69200000,33,25.7,119650000,48
2017,4 ,Olympique Marseille,38,22,11,5,80:47,77,80,47,21,62000000,20,2750000,59250000,29,26.8,236800000,62
2018,5 ,Olympique Marseille,38,18,7,13,60:52,61,60,52,13,66000000,8,32850000,33150000,33,26.1,258350000,77
2019,2 ,Olympique Marseille,28,16,8,4,41:29,76,41,29,12,27000000,13,27250000,-250000,34,24.3,216150000,61
2020,5 ,Olympique Marseille,38,16,12,10,54:47,60,54,47,14,13000000,10,8000000,5000000,43,24.2,251400000,76
2021,2 ,Olympique Marseille,23,12,7,4,36:20,43,36,20,27,46620000,25,4500000,42120000,28,23.9,250350000,60
2011,2 ,Paris Saint-Germain,38,23,10,5,75:41,79,75,41,17,87100000,11,2800000,84300000,35,26.5,211100000,79
2012,1 ,Paris Saint-Germain,38,25,8,5,69:23,83,69,23,17,111000000,8,2750000,108250000,36,26.9,313600000,79
2013,1 ,Paris Saint-Germain,38,27,8,3,84:23,89,84,23,20,110900000,17,26500000,84400000,33,25.0,402300000,83
2014,1 ,Paris Saint-Germain,38,24,11,3,83:36,83,83,36,9,49500000,8,1500000,48000000,32,25.3,363900000,89
2015,1 ,Paris Saint-Germain,38,30,6,2,102:19,96,102,19,12,116100000,10,17400000,98700000,35,24.9,436300000,83
2016,2 ,Paris Saint-Germain,38,27,6,5,83:27,87,83,27,17,68500000,11,59500000,9000000,39,24.5,519000000,96
2017,1 ,Paris Saint-Germain,38,29,6,3,108:29,93,108,29,17,238000000,13,70000000,168000000,35,25.0,900100000,87
2018,1 ,Paris Saint-Germain,38,29,4,5,105:35,91,105,35,25,187000000,13,108500000,78500000,39,24.9,1010000000,93
2019,1 ,Paris Saint-Germain,27,22,2,3,75:24,95,75,24,24,95000000,18,105900000,-10900000,35,25.2,874150000,91
2020,2 ,Paris Saint-Germain,38,26,4,8,86:28,82,86,28,20,62000000,16,400000,61600000,41,24.2,805000000,95
2021,1 ,Paris Saint-Germain,23,17,5,1,51:19,56,51,19,30,89500000,15,11000000,78500000,36,25.3,909550000,82
2014,20 ,RC Lens,38,7,8,23,32:61,29,32,61,3,0,10,0,0,29,24.4,27200000,29
2020,7 ,RC Lens,38,15,12,11,55:54,57,55,54,19,19000000,14,0,19000000,36,24.9,104300000,29
2021,9 ,RC Lens,23,9,6,8,36:33,33,36,33,26,16100000,17,18000000,-1900000,25,25.2,113700000,57
2017,15 ,RC Strasbourg Alsace,38,9,11,18,44:67,38,44,67,14,5200000,16,0,5200000,31,26.3,45600000,38
2018,11 ,RC Strasbourg Alsace,38,11,16,11,58:48,49,58,48,15,15750000,15,14000000,1750000,33,25.2,98000000,38
2019,11 ,RC Strasbourg Alsace,27,11,5,11,32:32,53,32,32,9,9000000,10,4500000,4500000,31,25.7,91380000,49
2020,15 ,RC Strasbourg Alsace,38,11,9,18,49:58,42,49,58,9,12000000,8,0,12000000,34,25.2,109650000,53
2021,4 ,RC Strasbourg Alsace,23,11,5,7,45:29,38,45,29,21,3000000,18,16000000,-13000000,24,25.9,95400000,42
2012,12 ,SC Bastia,38,13,8,17,50:66,47,50,66,13,0,13,4000000,-4000000,37,25.8,36050000,47
2013,10 ,SC Bastia,38,12,11,15,42:56,49,42,56,17,1800000,22,2200000,-400000,35,26.5,35600000,47
2014,12 ,SC Bastia,38,12,11,15,37:46,47,37,46,25,100000,22,2000000,-1900000,41,24.6,34250000,49
2015,10 ,SC Bastia,38,14,8,16,36:42,50,36,42,12,0,15,1700000,-1700000,31,25.8,24250000,47
2016,20 ,SC Bastia,38,8,11,19,29:54,34,29,54,17,250000,18,4500000,-4250000,37,25.1,36450000,50
2015,9 ,SCO Angers,38,13,11,14,40:38,50,40,38,24,0,16,3200000,-3200000,34,27.3,32350000,50
2016,12 ,SCO Angers,38,13,7,18,40:49,46,40,49,20,5200000,21,4400000,800000,36,26.3,46080000,50
2017,14 ,SCO Angers,38,9,14,15,42:52,41,42,52,19,12400000,17,24000000,-11600000,33,26.1,69550000,46
2018,13 ,SCO Angers,38,10,16,12,44:49,46,44,49,24,4400000,16,21000000,-16600000,38,26.5,79700000,41
2019,10 ,SCO Angers,28,11,6,11,28:33,52,28,33,21,10400000,16,34000000,-23600000,31,25.9,89480000,46
2020,13 ,SCO Angers,38,12,8,18,40:58,44,40,58,20,11250000,13,10700000,550000,38,25.8,111650000,52
2021,12 ,SCO Angers,23,7,8,8,30:34,29,30,34,14,1300000,10,11100000,-9800000,25,26.1,61050000,44
2011,18 ,SM Caen,38,9,11,18,39:59,38,39,59,13,0,11,9000000,-9000000,28,25.4,31800000,38
2014,13 ,SM Caen,38,12,10,16,54:55,46,54,55,14,800000,12,0,800000,27,27.1,32400000,38
2015,7 ,SM Caen,38,16,6,16,39:52,54,39,52,19,4650000,17,14000000,-9350000,30,25.6,36800000,46
2016,17 ,SM Caen,38,10,7,21,36:65,37,36,65,14,4250000,11,11000000,-6750000,36,26.1,36650000,54
2017,16 ,SM Caen,38,10,8,20,27:52,38,27,52,21,6350000,15,6000000,350000,33,25.8,60100000,37
2018,19 ,SM Caen,38,7,12,19,29:54,33,29,54,26,9950000,25,9500000,450000,39,24.8,67550000,38
2011,15 ,Stade Brestois 29,38,8,17,13,31:38,41,31,38,12,2000000,11,0,2000000,37,26.1,43200000,41
2012,20 ,Stade Brestois 29,38,8,5,25,32:62,29,32,62,10,2450000,14,500000,1950000,37,25.4,36100000,41
2019,14 ,Stade Brestois 29,28,8,10,10,34:37,46,34,37,14,7500000,14,500000,7000000,28,26.0,47780000,29
2020,17 ,Stade Brestois 29,38,11,8,19,50:66,41,50,66,17,16100000,15,12000000,4100000,32,25.2,103230000,46
2021,13 ,Stade Brestois 29,23,7,7,9,28:35,28,28,35,13,9500000,16,13200000,-3700000,26,25.3,76850000,41
2012,14 ,Stade Reims,38,10,13,15,33:42,43,33,42,11,2250000,17,0,2250000,29,25.9,29500000,43
2013,11 ,Stade Reims,38,12,12,14,44:52,48,44,52,14,3130000,7,0,3130000,35,25.0,38730000,43
2014,15 ,Stade Reims,38,12,8,18,47:66,44,47,66,12,0,10,5500000,-5500000,32,25.7,39250000,48
2015,18 ,Stade Reims,38,10,9,19,44:57,39,44,57,10,2400000,12,1500000,900000,35,25.7,42950000,44
2018,8 ,Stade Reims,38,13,16,9,39:42,55,39,42,17,11500000,13,11000000,500000,37,24.5,86950000,39
2019,5 ,Stade Reims,28,10,11,7,26:21,55,26,21,17,14700000,18,16600000,-1900000,31,23.7,81680000,55
2020,14 ,Stade Reims,38,9,15,14,42:50,42,42,50,14,11200000,12,17000000,-5800000,34,23.1,105180000,55
2021,14 ,Stade Reims,23,6,9,8,27:27,27,27,27,28,6000000,13,14800000,-8800000,27,24.1,99000000,42
2011,6 ,Stade Rennais FC,38,17,9,12,53:44,60,53,44,12,10200000,12,4500000,5700000,32,23.7,101800000,60
2012,13 ,Stade Rennais FC,38,13,7,18,48:59,46,48,59,16,6500000,15,15500000,-9000000,35,23.9,97800000,60
2013,12 ,Stade Rennais FC,38,11,13,14,47:45,46,47,45,24,6750000,21,16600000,-9850000,39,24.2,92600000,46
2014,9 ,Stade Rennais FC,38,13,11,14,35:42,50,35,42,26,11090000,15,20500000,-9410000,30,24.9,66000000,46
2015,8 ,Stade Rennais FC,38,13,13,12,52:54,52,52,54,27,5000000,18,0,5000000,38,24.6,94150000,50
2016,9 ,Stade Rennais FC,38,12,14,12,36:42,50,36,42,24,2270000,15,39700000,-37430000,43,25.0,80900000,52
2017,5 ,Stade Rennais FC,38,16,10,12,50:44,58,50,44,23,35900000,16,15050000,20850000,35,24.3,131250000,50
2018,10 ,Stade Rennais FC,38,13,13,12,55:52,52,55,52,20,15000000,16,18500000,-3500000,41,23.8,168450000,58
2019,3 ,Stade Rennais FC,28,15,5,8,38:24,67,38,24,25,58100000,21,54500000,3600000,33,25.0,171880000,52
2020,6 ,Stade Rennais FC,38,16,10,12,52:40,58,52,40,24,70560000,21,53170000,17390000,37,24.2,297500000,67
2021,5 ,Stade Rennais FC,23,11,4,8,43:21,37,43,21,26,79500000,18,45650000,33850000,26,23.5,216900000,58
2011,12 ,Valenciennes FC,38,12,7,19,40:50,43,40,50,7,3100000,5,3200000,-100000,36,24.4,44500000,43
2012,11 ,Valenciennes FC,38,12,12,14,49:53,48,49,53,7,1300000,8,0,1300000,32,25.6,49750000,43
2013,19 ,Valenciennes FC,38,7,8,23,37:65,29,37,65,11,1200000,14,6000000,-4800000,34,25.5,36650000,48
