Year,Team,Squad,Average_age,Market_value
2016,EA Guingamp ,35,26.2,€42.50m
2016,FC Metz  ,39,24.5,€37.55m
2016,SM Caen ,36,26.1,€36.65m
2016,SC Bastia ,37,25.1,€36.45m
2016,AS Nancy-Lorraine ,30,26.1,€33.10m
2016,Dijon FCO  ,33,26.3,€31.20m
2017,Paris Saint-Germain ,35,25.0,€900.10m
2017,AS Monaco ,38,23.5,€529.80m
2017,Olympique Lyon ,34,23.1,€363.80m
2017,Olympique Marseille ,29,26.8,€236.80m
2017,OGC Nice ,39,23.6,€204.10m
2017,FC Girondins Bordeaux ,37,24.1,€155.45m
2017,Stade Rennais FC ,35,24.3,€131.25m
2017,FC Toulouse ,28,24.5,€110.45m
2017,AS Saint-Étienne ,40,24.8,€106.88m
2017,FC Nantes ,36,24.6,€105.70m
2017,LOSC Lille ,32,22.0,€96.75m
2017,Montpellier HSC ,30,25.4,€71.85m
2017,Dijon FCO ,35,25.6,€70.30m
2017,Amiens SC  ,34,27.3,€69.85m
2017,Angers SCO ,33,26.1,€69.55m
2017,SM Caen ,33,25.8,€60.10m
2017,EA Guingamp ,30,26.7,€51.90m
2017,FC Metz ,44,24.7,€51.20m
2017,RC Strasbourg Alsace  ,31,26.3,€45.60m
2017,ESTAC Troyes  ,30,26.0,€45.05m
2018,Paris Saint-Germain ,39,24.9,€1.01bn
2018,Olympique Lyon ,34,23.7,€467.95m
2018,AS Monaco ,57,23.4,€385.83m
2018,LOSC Lille ,32,23.7,€267.55m
2018,Olympique Marseille ,33,26.1,€258.35m
2018,OGC Nice ,38,22.7,€183.20m
2018,FC Girondins Bordeaux ,43,23.8,€179.00m
2018,Stade Rennais FC ,41,23.8,€168.45m
2018,AS Saint-Étienne ,42,24.3,€131.25m
2018,FC Nantes ,40,24.6,€119.50m
2018,FC Toulouse ,40,24.1,€113.25m
2018,Montpellier HSC ,32,25.7,€109.85m
2018,RC Strasbourg Alsace ,33,25.2,€98.00m
2018,Nîmes Olympique  ,31,25.0,€88.15m
2018,Stade Reims  ,37,24.5,€86.95m
2018,Angers SCO ,38,26.5,€79.70m
2018,EA Guingamp ,37,25.3,€70.65m
2018,Amiens SC ,36,25.4,€70.50m
2018,SM Caen ,39,24.8,€67.55m
2018,Dijon FCO ,32,25.7,€65.80m
2019,Paris Saint-Germain ,35,25.2,€874.15m
2019,Olympique Lyon ,33,24.0,€384.55m
2019,AS Monaco ,39,25.3,€331.03m
2019,LOSC Lille ,31,23.7,€247.78m
2019,Olympique Marseille ,34,24.3,€216.15m
2019,OGC Nice ,37,23.1,€173.45m
2019,Stade Rennais FC ,33,25.0,€171.88m
2019,FC Girondins Bordeaux ,31,25.0,€125.35m
2019,FC Nantes ,35,25.0,€106.15m
2019,AS Saint-Étienne ,41,24.8,€104.83m
2019,RC Strasbourg Alsace ,31,25.7,€91.13m
2019,Angers SCO ,31,25.9,€89.48m
2019,Montpellier HSC ,30,26.2,€81.68m
2019,Stade Reims ,31,23.7,€81.68m
2019,FC Toulouse ,35,23.5,€71.88m
2019,Amiens SC ,37,25.3,€61.93m
2019,FC Metz  ,32,24.4,€54.10m
2019,Dijon FCO ,31,25.3,€50.23m
2019,Nîmes Olympique ,35,23.8,€49.65m
2019,Stade Brestois 29  ,28,26.0,€47.78m
2020,Paris Saint-Germain ,41,24.2,€805.00m
2020,Olympique Lyon ,40,24.2,€431.35m
2020,AS Monaco ,33,24.0,€370.35m
2020,LOSC Lille ,32,23.6,€323.20m
2020,Stade Rennais FC ,37,24.2,€297.50m
2020,Olympique Marseille ,37,24.9,€247.95m
2020,OGC Nice ,41,22.4,€236.10m
2020,AS Saint-Étienne ,43,23.6,€154.50m
2020,Montpellier HSC ,34,25.2,€113.85m
2020,Angers SCO ,38,25.8,€111.65m
2020,RC Strasbourg Alsace ,34,25.2,€109.65m
2020,FC Girondins Bordeaux ,36,25.4,€105.70m
2020,Stade Reims ,34,23.1,€105.18m
2020,RC Lens  ,36,24.9,€104.30m
2020,FC Metz ,35,24.6,€103.50m
2020,Stade Brestois 29 ,32,25.2,€103.23m
2020,FC Nantes ,32,25.4,€94.75m
2020,FC Lorient  ,34,26.4,€72.88m
2020,Dijon FCO ,37,24.3,€65.63m
2020,Nîmes Olympique ,36,24.9,€60.40m
2021,Paris Saint-Germain ,41,25.7,€875.15m
2021,Olympique Lyon ,40,24.3,€397.70m
2021,AS Monaco ,41,23.3,€396.00m
2021,LOSC Lille ,41,24.0,€306.88m
2021,Stade Rennais FC ,36,22.9,€305.35m
2021,Olympique Marseille ,38,23.5,€284.70m
2021,OGC Nice ,34,23.8,€266.05m
2021,RC Lens ,35,24.8,€154.05m
2021,Stade Reims ,40,23.5,€149.40m
2021,Montpellier HSC ,36,24.8,€144.60m
2021,RC Strasbourg Alsace ,33,24.8,€120.05m
2021,FC Girondins Bordeaux ,54,24.0,€116.85m
2021,FC Nantes ,31,25.6,€112.65m
2021,AS Saint-Étienne ,44,24.0,€105.65m
2021,Stade Brestois 29 ,30,25.4,€103.15m
2021,FC Metz ,41,25.0,€91.05m
2021,Angers SCO ,38,25.4,€89.50m
2021,ESTAC Troyes  ,50,24.6,€73.20m
2021,FC Lorient ,35,25.4,€61.30m
2021,Clermont Foot 63  ,39,25.1,€55.10m
2022,Paris Saint-Germain ,37,25.5,€891.25m
2022,Stade Rennais FC ,38,23.8,€387.75m
2022,AS Monaco ,32,23.8,€368.30m
2022,Olympique Lyon ,34,24.9,€350.95m
2022,Olympique Marseille ,37,25.2,€331.55m
2022,OGC Nice ,41,23.9,€310.80m
2022,LOSC Lille ,33,24.8,€247.95m
2022,RC Lens ,39,24.9,€238.20m
2022,FC Lorient ,42,24.1,€175.45m
2022,Stade Reims ,40,23.4,€159.05m
2022,Montpellier HSC ,39,24.6,€142.90m
2022,RC Strasbourg Alsace ,36,25.6,€123.55m
2022,FC Nantes ,37,25.5,€119.28m
2022,FC Toulouse  ,37,23.5,€104.80m
2022,Stade Brestois 29 ,32,25.8,€76.65m
2022,ESTAC Troyes ,41,24.4,€76.30m
2022,Angers SCO ,44,24.6,€71.80m
2022,AJ Auxerre  ,42,26.0,€54.80m
2022,Clermont Foot 63 ,33,25.8,€48.00m
2022,AC Ajaccio  ,41,26.6,€27.00m
2023,Paris Saint-Germain ,29,25.1,€1.07bn
2023,AS Monaco ,27,23.6,€344.80m
2023,Stade Rennais FC ,25,24.1,€280.50m
2023,Olympique Marseille ,25,25.3,€248.80m
2023,OGC Nice ,29,23.8,€245.00m
2023,LOSC Lille ,24,25.5,€226.60m
2023,RC Lens ,29,25.5,€212.55m
2023,Olympique Lyon ,28,24.6,€192.65m
2023,RC Strasbourg Alsace ,27,24.1,€129.85m
2023,FC Nantes ,28,25.4,€113.40m
2023,Stade Reims ,24,24.7,€110.95m
2023,FC Lorient ,30,24.6,€110.90m
2023,Montpellier HSC ,23,25.1,€93.45m
2023,FC Toulouse ,29,23.0,€79.30m
2023,Stade Brestois 29 ,25,25.4,€77.65m
2023,Le Havre AC  ,29,24.6,€55.40m
2023,Clermont Foot 63 ,24,26.4,€51.75m
2023,FC Metz  ,30,24.7,€37.55m
